name,x,y,time
Group 1,36.36,12.87,2025-09-19 13:18:34.379157
Group 1,36.47,12.84,2025-09-19 13:18:35.383302
Group 1,36.41,12.86,2025-09-19 13:18:36.383027
Group 1,36.22,12.88,2025-09-19 13:18:37.380373
Group 1,36.18,12.91,2025-09-19 13:18:38.379134
Group 1,36.18,12.92,2025-09-19 13:18:39.381962
Group 1,36.16,12.95,2025-09-19 13:18:40.381985
Group 1,36.17,12.95,2025-09-19 13:18:41.379115
Group 1,36.15,12.95,2025-09-19 13:18:42.379115
Group 1,36.1,12.95,2025-09-19 13:18:43.377634
Group 1,36.02,12.96,2025-09-19 13:18:44.377576
Group 1,36.03,12.97,2025-09-19 13:18:45.377633
Group 1,35.92,12.97,2025-09-19 13:18:46.37939
Group 1,35.97,12.94,2025-09-19 13:18:47.379066
Group 1,36.03,12.94,2025-09-19 13:18:48.377586
Group 1,36.05,12.95,2025-09-19 13:18:49.37945
Group 1,36.07,12.94,2025-09-19 13:18:50.381867
Group 1,36.06,12.97,2025-09-19 13:18:51.37991
Group 1,36.09,12.94,2025-09-19 13:18:52.377625
Group 1,36.04,12.92,2025-09-19 13:18:53.379097
Group 1,36.05,12.91,2025-09-19 13:18:54.379085
Group 1,36.07,12.91,2025-09-19 13:18:55.379047
Group 1,36.05,12.92,2025-09-19 13:18:56.37754
Group 1,36.06,12.96,2025-09-19 13:18:57.379346
Group 1,36.08,12.94,2025-09-19 13:18:58.377632
Group 1,36.08,12.92,2025-09-19 13:18:59.379159
Group 1,35.99,12.77,2025-09-19 13:19:00.379138
Group 1,35.96,12.83,2025-09-19 13:19:01.379128
Group 1,36.02,12.87,2025-09-19 13:19:02.379557
Group 1,36.27,12.77,2025-09-19 13:19:03.379126
Group 1,36.44,12.86,2025-09-19 13:19:04.382081
Group 1,36.25,12.85,2025-09-19 13:19:05.379117
Group 1,36.09,12.9,2025-09-19 13:19:06.379225
Group 1,36.03,12.95,2025-09-19 13:19:07.379118
Group 1,36.01,13.0,2025-09-19 13:19:08.378961
Group 1,36.08,13.03,2025-09-19 13:19:09.379138
Group 1,36.27,13.09,2025-09-19 13:19:10.382601
Group 1,36.35,13.16,2025-09-19 13:19:11.37906
Group 1,36.45,13.19,2025-09-19 13:19:12.379213
Group 1,36.58,13.24,2025-09-19 13:19:13.378927
Group 1,36.28,13.23,2025-09-19 13:19:14.381816
Group 1,36.25,13.26,2025-09-19 13:19:15.378973
Group 1,36.27,13.29,2025-09-19 13:19:16.379072
